longitude,latitude
113.773226,34.786494
113.752265,34.762575
113.752414,34.760185
116.292026,39.826571
113.737974,34.749867
113.631419,34.753439
113.761101,34.76169
116.426368,39.921401
116.332607,39.910377
113.802193,34.820333
113.534022,34.832459
113.683276,34.732211
113.509997,34.830927
116.248319,39.598383
113.562114,34.817192
116.126865,39.726044
113.80248,34.815662
113.802334,34.823113
113.772815,34.787318
113.772815,34.787318
116.207193,40.45308
113.68188,34.858524
113.714736,34.587157
116.23398,40.277841
116.668227,40.360918
113.766692,34.817295
113.545321,34.852823
113.735654,34.759907
113.779154,34.792158
113.788664,34.844742
116.844972,40.184662
113.829475,34.767493
113.83981,34.774731
113.840628,34.789588
113.845552,34.828975
116.755662,39.954595
113.830941,34.835113
113.837744,34.855766
113.845527,34.858165
113.810383,34.874655
113.836076,34.87439
113.776556,34.836076
116.467035,39.916456
116.467035,39.916456
113.671719,34.860483
113.226576,23.411162
113.740336,34.767697
113.569813,34.768745
113.788664,34.844742
113.689231,34.825456
113.746482,34.850005
113.676519,34.84372
113.688258,34.856643
113.697645,34.827259
113.701942,34.854913
113.715617,34.856986
113.501124,34.835647
113.631419,34.753439
113.592429,34.837988
113.543104,34.834724
113.033805,34.486586
116.045884,40.51537
113.730738,34.762637
116.079481,40.16954
113.572539,34.786621
113.599441,34.798032
113.615721,34.792427
113.591136,34.787584
113.584626,34.796424
116.574142,39.907171
113.553872,34.793249
113.578716,34.808102
113.763755,34.530757
113.570052,34.810261
113.560427,34.810946
113.577095,34.801626
113.631419,34.753439
113.685908,34.71793
113.754786,34.744202
113.684317,34.845263
113.761029,34.750285
113.759541,34.748351
113.794392,34.757221
116.860334,40.377728
116.421616,40.008581
113.67286,34.747837
113.631419,34.753439
113.631419,34.753439
113.70733,34.813509
113.226576,23.411162
116.382657,39.79117
116.844972,40.184662
113.83981,34.774731
113.829475,34.767493
113.845552,34.828975
113.840628,34.789588
113.004124,34.706217
113.533181,34.839107
113.873859,34.424685
113.827159,34.481436
113.508125,34.818641
113.533949,34.818912
113.631419,34.753439
113.538468,34.826492
113.573987,34.817801
116.860334,40.377728
113.395081,34.772584
117.209834,40.252158
113.654806,34.835941
113.608894,34.786302
116.309475,39.902189
113.777227,34.775996
113.949749,34.8663
113.949749,34.8663
113.67011,34.806566
113.683032,34.801614
113.674157,34.744215
113.63717,34.766303
116.295886,39.658358
113.647742,34.725758
113.64768,34.813659
116.628647,39.990545
113.799271,34.749099
116.773044,40.110637
113.987427,34.720271
113.657415,34.835361
113.65705,34.827466
113.652003,34.834582
113.671388,34.833378
114.030929,34.791255
113.908086,34.735768
113.908086,34.735768
113.822755,34.753183
113.822755,34.753183
113.933565,34.809456
113.625228,34.742208
113.616438,34.738331
113.637082,34.80996
113.74082,34.78131
113.631419,34.753439
113.634343,34.875841
113.674229,34.876636
113.679446,34.880978
113.542979,34.886176
113.804076,34.818201
113.675315,34.802919
113.645334,34.807083
113.666683,34.767852
113.679842,34.767274
113.676751,34.765523
113.674275,34.768345
113.631419,34.753439
113.696181,34.787024
113.69844,34.782094
113.675626,34.760704
113.697405,34.790158
113.704886,34.790181
113.711305,34.795292
113.705244,34.782485
113.693878,34.789687
113.690007,34.779367
113.704602,34.770642
113.695335,34.779012
113.696404,34.770727
113.698644,34.773492
113.694078,34.772997
117.136536,40.146353
113.631419,34.753439
113.631419,34.753439
116.373821,39.823158
113.672309,34.775453
113.682976,34.772861
113.669294,34.777056
113.631419,34.753439
116.419434,39.903155
113.649751,34.786411
113.802162,34.719229
113.797791,34.719605
113.764372,34.722038
113.656547,34.726365
113.770056,34.739252
113.776442,34.72332
113.74607,34.739989
113.76157,34.714829
113.748382,34.714315
113.781714,34.739829
113.763016,34.732428
113.747204,34.716346
113.868187,34.571233
116.575875,40.120226
116.332607,39.910377
116.668227,40.360918
113.658545,34.789393
113.643279,34.798928
113.637369,34.791523
113.65365,34.786641
117.114729,40.160652
116.108298,39.939951
113.660179,34.766139
113.663046,34.779544
113.659854,34.777848
116.860334,40.377728
113.666842,34.782489
116.575875,40.120226
113.692932,34.763506
113.683136,34.766787
113.685237,34.764681
113.692496,34.765992
113.706351,34.756031
113.687901,34.764269
116.133342,39.902451
113.707747,34.749705
114.023447,34.737787
113.673601,34.788112
116.438131,39.931627
113.667275,34.798681
116.687296,40.036537
113.682259,34.797589
116.294207,39.952244
113.631419,34.753439
116.683004,40.039329
116.23547,40.299081
113.644412,34.802688
106.226442,27.465355
116.305592,39.83551
113.631419,34.753439
113.696108,34.810919
113.416757,34.548827
116.353393,39.912362
113.707012,34.804219
112.210409,25.909826
113.776395,34.791085
113.739006,34.747247
